[SQL: SELECT devices.id AS devices_id, devices.device_name AS devices_device_name, devices.device_type_id AS devices_device_type_id, devices.location AS devices_location, devices.ip_address AS devices_ip_address, devices.mqtt_topic AS devices_mqtt_topic, devices.status AS devices_status, devices.current_value AS devices_current_value, devices.created_at AS devices_created_at, devices.updated_at AS devices_updated_at, sensor_data.id AS sensor_data_id, sensor_data.device_id AS sensor_data_device_id, sensor_data.temperature AS sensor_data_temperature, sensor_data.ph AS sensor_data_ph, sensor_data.ammonia AS sensor_data_ammonia, sensor_data.nitrite AS sensor_data_nitrite, sensor_data.oxygen AS sensor_data_oxygen, sensor_data.raw_value AS sensor_data_raw_value, sensor_data.created_at AS sensor_data_created_at 
FROM devices JOIN sensor_data ON devices.id = sensor_data.device_id ORDER BY sensor_data.created_at DESC
 LIMIT ? OFFSET ?]
[parameters: (20, 0)]
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2026-03-25 13:31:00 | ERROR | app.main:global_exception_handler:109 | 未处理的异常: 'max' is not among the defined enum values. Enum name: alarmlevel. Possible values: REMIND, WARNING, DANGER
2026-03-25 13:34:54 | INFO | app.main:lifespan:57 | 正在关闭应用
2026-03-25 13:34:54 | INFO | app.main:lifespan:57 | 正在关闭应用
2026-03-25 13:34:54 | INFO | app.main:lifespan:59 | 应用已关闭
2026-03-25 13:34:54 | INFO | app.main:lifespan:59 | 应用已关闭
2026-03-25 13:34:56 | INFO | app.main:lifespan:40 | 正在启动 智能渔场环境控制监测系统 v1.0.0
2026-03-25 13:34:56 | INFO | app.main:lifespan:40 | 正在启动 智能渔场环境控制监测系统 v1.0.0
2026-03-25 13:34:56 | INFO | app.main:lifespan:41 | 运行环境: development
2026-03-25 13:34:56 | INFO | app.main:lifespan:41 | 运行环境: development
2026-03-25 13:34:56 | WARNING | app.main:lifespan:52 | MQTT客户端未连接
2026-03-25 13:34:56 | WARNING | app.main:lifespan:52 | MQTT客户端未连接
2026-03-25 13:35:41 | INFO | app.main:lifespan:57 | 正在关闭应用
2026-03-25 13:35:41 | INFO | app.main:lifespan:59 | 应用已关闭
2026-03-25 13:37:15 | INFO | app.main:lifespan:40 | 正在启动 智能渔场环境控制监测系统 v1.0.0
2026-03-25 13:37:15 | INFO | app.main:lifespan:41 | 运行环境: development
2026-03-25 13:37:15 | WARNING | app.main:lifespan:52 | MQTT客户端未连接
